,Datetime,Temperature,Pressure,Humidity,Weather,Weather_Description,Wind_Speed
0,2024-05-24 15:00:00,14,1019,93,Rain,light rain,1.38
1,2024-05-24 18:00:00,13,1018,96,Rain,light rain,2.48
2,2024-05-24 21:00:00,13,1018,96,Rain,light rain,2.4
3,2024-05-25 00:00:00,13,1017,99,Rain,light rain,2.1
4,2024-05-25 03:00:00,13,1016,99,Rain,moderate rain,3.64
5,2024-05-25 06:00:00,13,1016,97,Rain,light rain,3.16
6,2024-05-25 09:00:00,14,1017,93,Rain,overcast clouds,3.71
7,2024-05-25 12:00:00,17,1017,74,Rain,light rain,3.78
8,2024-05-25 15:00:00,17,1017,68,Rain,light rain,2.7
9,2024-05-25 18:00:00,17,1017,68,Rain,broken clouds,1.52
10,2024-05-25 21:00:00,13,1017,90,Rain,clear sky,2.17
11,2024-05-26 00:00:00,12,1016,92,Rain,broken clouds,2.35
12,2024-05-26 03:00:00,13,1015,87,Rain,overcast clouds,2.18
13,2024-05-26 06:00:00,14,1015,90,Rain,light rain,0.72
14,2024-05-26 09:00:00,18,1014,73,Rain,light rain,2.8
15,2024-05-26 12:00:00,20,1014,62,Rain,light rain,4.85
16,2024-05-26 15:00:00,19,1014,69,Rain,light rain,4.26
17,2024-05-26 18:00:00,17,1015,79,Rain,light rain,2.06
18,2024-05-26 21:00:00,14,1015,91,Rain,light rain,2.16
19,2024-05-27 00:00:00,12,1016,94,Rain,light rain,2.47
20,2024-05-27 03:00:00,11,1016,93,Rain,overcast clouds,2.7
21,2024-05-27 06:00:00,13,1017,87,Rain,overcast clouds,3.26
22,2024-05-27 09:00:00,16,1017,58,Rain,overcast clouds,3.88
23,2024-05-27 12:00:00,19,1016,46,Rain,overcast clouds,4.53
24,2024-05-27 15:00:00,18,1016,48,Rain,overcast clouds,4.11
25,2024-05-27 18:00:00,15,1017,64,Rain,light rain,2.67
26,2024-05-27 21:00:00,12,1018,72,Rain,broken clouds,2.06
27,2024-05-28 00:00:00,11,1019,78,Rain,overcast clouds,1.93
28,2024-05-28 03:00:00,9,1019,85,Rain,broken clouds,2.4
29,2024-05-28 06:00:00,12,1019,74,Rain,scattered clouds,2.89
30,2024-05-28 09:00:00,16,1019,55,Rain,clear sky,3.17
31,2024-05-28 12:00:00,18,1018,44,Rain,light rain,2.74
32,2024-05-28 15:00:00,16,1018,68,Rain,light rain,2.1
33,2024-05-28 18:00:00,16,1018,72,Rain,light rain,0.42
34,2024-05-28 21:00:00,12,1018,86,Rain,clear sky,1.58
35,2024-05-29 00:00:00,11,1018,90,Rain,clear sky,1.14
36,2024-05-29 03:00:00,10,1018,93,Rain,clear sky,0.43
37,2024-05-29 06:00:00,13,1019,82,Rain,clear sky,0.95
38,2024-05-29 09:00:00,18,1019,60,Rain,clear sky,1.56
39,2024-05-29 12:00:00,21,1017,44,Rain,clear sky,1.95
